system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-01-30 17:45:07.299844,831,0.0004393,0.0003766,-0.0783559,0.0000000,-0.0001818,0.0000000
2023-01-30 17:45:07.307841,839,0.0004393,0.0003138,-0.0784500,0.0000606,-0.0000606,0.0001212
2023-01-30 17:45:07.315822,847,0.0004393,0.0003138,-0.0783559,0.0000606,-0.0000606,-0.0000606
2023-01-30 17:45:07.323987,855,0.0004393,0.0003766,-0.0783872,0.0001212,-0.0000606,0.0000606
2023-01-30 17:45:07.331984,863,0.0003766,0.0004393,-0.0784186,0.0000606,0.0000606,-0.0000606
2023-01-30 17:45:07.339976,871,0.0004393,0.0005335,-0.0785755,0.0001818,0.0001212,0.0000000
2023-01-30 17:45:07.347873,879,0.0004079,0.0005335,-0.0784814,0.0000000,0.0000606,0.0000000
2023-01-30 17:45:07.355856,887,0.0004393,0.0005962,-0.0783872,0.0001212,0.0000606,0.0000000
2023-01-30 17:45:07.363967,895,0.0005021,0.0005335,-0.0783559,0.0001212,0.0000606,-0.0000606
2023-01-30 17:45:07.371869,903,0.0005335,0.0004707,-0.0785128,0.0001818,0.0001818,-0.0001212
2023-01-30 17:45:07.379889,911,0.0005021,0.0003766,-0.0784814,0.0001212,-0.0000606,0.0000000
2023-01-30 17:45:07.388033,919,0.0005335,0.0003138,-0.0784814,0.0001212,-0.0000606,0.0000000
2023-01-30 17:45:07.395755,927,0.0004707,0.0003138,-0.0785128,-0.0000606,0.0000606,0.0000000
2023-01-30 17:45:07.403848,935,0.0005021,0.0004079,-0.0783872,-0.0001212,0.0000000,-0.0000606
2023-01-30 17:45:07.411917,943,0.0005335,0.0004079,-0.0784814,0.0000606,-0.0001212,0.0000000
2023-01-30 17:45:07.419894,951,0.0005648,0.0004393,-0.0784500,0.0000606,-0.0001212,0.0000606
2023-01-30 17:45:07.427838,959,0.0004707,0.0005021,-0.0784814,0.0001818,-0.0001818,0.0000606
2023-01-30 17:45:07.435849,967,0.0005021,0.0004707,-0.0783872,0.0000000,-0.0001212,-0.0000606
2023-01-30 17:45:07.443920,975,0.0004707,0.0004079,-0.0784500,0.0000606,-0.0000606,0.0000606
2023-01-30 17:45:07.451947,983,0.0004079,0.0003452,-0.0783559,0.0001818,-0.0001212,0.0001212
2023-01-30 17:45:07.459958,991,0.0004393,0.0003452,-0.0784814,0.0001818,-0.0001818,0.0000606
2023-01-30 17:45:07.467987,999,0.0004707,0.0003452,-0.0783559,0.0000606,-0.0001818,0.0000606
2023-01-30 17:45:07.475880,1007,0.0004707,0.0004079,-0.0785128,0.0000606,-0.0001212,-0.0000606
2023-01-30 17:45:07.484037,1015,0.0004079,0.0004707,-0.0784814,0.0001212,-0.0001212,-0.0000606
2023-01-30 17:45:07.492010,1023,0.0004707,0.0006276,-0.0784814,0.0000606,0.0001212,-0.0001212
2023-01-30 17:45:07.499934,1031,0.0004079,0.0005962,-0.0784814,0.0001212,0.0000000,-0.0000606
2023-01-30 17:45:07.507917,1039,0.0004707,0.0006590,-0.0784186,0.0000606,0.0000606,0.0000606
2023-01-30 17:45:07.515931,1047,0.0004393,0.0005335,-0.0783872,0.0001212,0.0000606,-0.0000606
2023-01-30 17:45:07.523931,1055,0.0005335,0.0004707,-0.0783559,0.0001212,0.0000000,0.0001212
2023-01-30 17:45:07.531827,1063,0.0005335,0.0003452,-0.0784814,0.0001212,0.0000606,0.0000606
2023-01-30 17:45:07.539909,1071,0.0005962,0.0002824,-0.0784814,-0.0000606,-0.0000606,0.0001818
2023-01-30 17:45:07.547982,1079,0.0005648,0.0002510,-0.0785755,0.0000606,0.0000606,0.0000606
2023-01-30 17:45:07.555943,1087,0.0004707,0.0003452,-0.0784814,0.0001212,-0.0000606,0.0000000
